name,website,reason
In-Q-Tel,https://www.iqt.org/,DUPLICATES
Business Angel,http://www.Business-Angel.com,DUPLICATES
Business Angel,http://www.Business-Angel.com,DUPLICATES
Accel,https://www.accel.com/,DUPLICATES
R/GA Ventures,https://ventures.rga.com/,DUPLICATES
Goran,,DUPLICATES
Goran,,DUPLICATES
Rentamarkets,https://rentamarkets.com/,DUPLICATES
Rentamarkets,https://rentamarkets.com/,DUPLICATES
Rentamarkets,https://rentamarkets.com/,DUPLICATES
Rentamarkets,https://rentamarkets.com/,DUPLICATES
Startup Sauna,www.startupsauna.com,DUPLICATES
Startup Sauna,www.startupsauna.com,DUPLICATES
Startup Sauna,www.startupsauna.com,DUPLICATES
Axel Springer Porsche,https://apx.ac/,DUPLICATES
VentureRadar,https://www.ventureradar.com/,DUPLICATES
Axel Springer Porsche,https://apx.ac/,DUPLICATES
Axel Springer Porsche,https://apx.ac/,DUPLICATES
VentureRadar,https://www.ventureradar.com/,DUPLICATES
VentureRadar,https://www.ventureradar.com/,DUPLICATES
Axel Springer Porsche,https://apx.ac/,DUPLICATES
VentureRadar,https://www.ventureradar.com/,DUPLICATES
VentureRadar,https://www.ventureradar.com/,DUPLICATES
Axel Springer Porsche,https://apx.ac/,DUPLICATES
test,,DUPLICATES
test,,DUPLICATES
a,,DUPLICATES
a,,DUPLICATES
a,,DUPLICATES
a,,DUPLICATES
a,,DUPLICATES
FrenchFounders,http://www.frenchfounders.com/,DUPLICATES
a,,DUPLICATES
a,,DUPLICATES
NGEN Partners,https://ngenpartners.com/,DUPLICATES
a,,DUPLICATES
SAGE,http://www.sagesouth.com/index.html,DUPLICATES
SAGE,http://www.sagesouth.com/index.html,DUPLICATES
SAGE,http://www.sagesouth.com/index.html,DUPLICATES
Beliade,https://beliade.com/,DUPLICATES
Extreme Tech Challenge,https://extremetechchallenge.org/,DUPLICATES
Lauder Partners,https://lauderpartners.com/,DUPLICATES
Bettina Hein,https://www.linkedin.com/in/bettina-hein-994715137,DUPLICATES
Bettina Hein,https://www.linkedin.com/in/bettina-hein-994715137,DUPLICATES
Bettina Hein,https://www.linkedin.com/in/bettina-hein-994715137,DUPLICATES
Bettina Hein,https://www.linkedin.com/in/bettina-hein-994715137,DUPLICATES
Sweet Capital,https://sweetcapital.com/,DUPLICATES
Sweet Capital,https://sweetcapital.com/,DUPLICATES
Sweet Capital,https://sweetcapital.com/,DUPLICATES
Sweet Capital,https://sweetcapital.com/,DUPLICATES
Sweet Capital,https://sweetcapital.com/,DUPLICATES
Sweet Capital,https://sweetcapital.com/,DUPLICATES
Sweet Capital,https://sweetcapital.com/,DUPLICATES
Sweet Capital,https://sweetcapital.com/,DUPLICATES
