URL,Name,SKU,Description,Price,Availability,ImageURL,Variants,Color,EbayCategory
https://m.jdsports.co.uk/product/blue-new-balance-cardiff-city-fc-training-14-zip-top/16573780/,New Balance Cardiff City FC Training 1/4 Zip Top,16573780,"Gear up for the pitch like the pros in this men&#039;s Cardiff City FC Training 1/4 Zip Top from New Balance. Coming in a Navy and Sky Blue colourway, this training top is made with smooth, lightweight poly fabric for essential comfort. Crafted with sweat-wicking NB DRY tech, it features a quarter zip closure and a raised collar to adjust your airflow. It has long, raglan-cut sleeves for maximum movement, while thumb loops deliver a secure, streamlined fit. Finished up with New Balance branding to the chest, and the iconic Cardiff City FC crest to sign off. Machine washable. | Our model is 6&#039;0&quot; with a 38&quot; chest and wears a size medium.",40,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_545943_f?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_545943_e?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_545943_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_545943_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_545943_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_545943_d?qlt=92&w=600&h=765&v=1&fmt=auto",L,blue,"Clothes, Shoes & Accessories > Men > Men's Clothing > Shirts"
https://m.jdsports.co.uk/product/blue-adidas-match-tracksuit/19200430/,adidas Match Tracksuit,19200430,"Double up your training heat with this men&#039;s Match Tracksuit from adidas. Landing in a JD-exclusive Mystery Blue colourway, this pitch-ready set is made from durable recycled poly fabric, and uses sweat-wicking AEROREADY tech to keep you cool. The track top has a full zip fastening, mock collar and ribbed trims for essential coverage, while the pants feature an elasticated drawcord waistband, tapered legs and side pockets. Finished off with Volt 3-Stripes down the sides and a Badge of Sport logo to the chest and thigh. Machine washable. | Our model is 6&#039;1&quot; with a 36.5&quot; chest and wears a size medium. | HY2892",55,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_574830_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_574830_f?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_574830_e?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_574830_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_574830_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_574830_d?qlt=92&w=600&h=765&v=1&fmt=auto","S,M,L,XL,XXL",blue,"Clothes, Shoes & Accessories > Men > Men's Clothing > Shirts"
https://m.jdsports.co.uk/product/black-puma-borussia-dortmund-pre-match-sweatshirt/18918875/,Puma Borussia Dortmund Pre-Match Sweatshirt,18918875,"Stay covered on the pitch and in the stands with this men&#039;s Borussia Dortmund Pre-Match Sweatshirt from PUMA. In a Black colourway, this collared jumper is made from super-smooth and durable poly fabric, with added stretch to the trims for support. It uses sweat-wicking dryCELL tech for cool comfort, and features thumb loops to hold the sleeves in place. Finished off with tonal Puma Cat branding and the iconic BVB logo to the chest. Machine washable. | Our model is 6&#039;0&quot; with a 35&quot; chest and wears a size medium.",30,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_615604_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_615604_e?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_615604_f?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_615604_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_615604_d?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_615604_a?qlt=92&w=600&h=765&v=1&fmt=auto","XS,S,M,XL,XXL",black,
https://m.jdsports.co.uk/product/black-puma-anzarun/19426297/,Puma Anzarun,19426297,"Update your rotation with these men&#039;s Anzarun sneakers from PUMA. Exclusive to JD, these kicks have a lightweight woven upper with smooth synthetic skin details for added support. They feature a tonal lace fastening with plush padding around the ankle collar for a locked-in fit, and sit atop a spongy foam midsole for a cushioned step. With a tough rubber outsole for grippy traction, they&#039;re finished up with PUMA&#039;s iconic Formstrip to the sidewalls. Signed off with classic PUMA branding.",45,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_634568_f?qlt=92&w=600&h=425&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_634568_d?qlt=92&w=600&h=425&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_634568_b?qlt=92&w=600&h=425&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_634568_a?qlt=92&w=600&h=425&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_634568_c?qlt=92&w=600&h=425&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_634568_e?qlt=92&w=600&h=425&v=1&fmt=auto","6,7,7.5,8,8.5,9,9.5,10,10.5,11,12",black,
https://m.jdsports.co.uk/product/black-nike-nfl-las-vegas-raiders-carr-4-jersey/16604875/,Nike NFL Las Vegas Raiders Carr #4 Jersey,16604875,"Rep your fave player and show your support with this men&#039;s NFL Las Vegas Raiders Carr #4 Jersey from Nike. In a Black colourway, this oversized jersey is cut from light, breathable polyester fabric for cool comfort. It features short sleeves with a v-neckline and is signed off with Raiders branding, a Swoosh to the sleeve and Carr #4 printed to the back. Machine washable | Our model is 5&#039;11&quot; with a 38&quot; chest and wears a size medium.",60,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_547390_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_547390_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_547390_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_547390_f?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_547390_d?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_547390_e?qlt=92&w=600&h=765&v=1&fmt=auto","S,M",black,
https://m.jdsports.co.uk/product/blue-vans-comfycush-tie-dye-relaxed-fleece-pant/19040289/,Vans COMFYCUSH TIE DYE RELAXED FLEECE PANT,19040289,"Product DetailsOuter Material: 78% Cotton, 22% Polyester",60,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_VN00060C5S21_e?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN00060C5S21_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN00060C5S21_f?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN00060C5S21_d?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN00060C5S21_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN00060C5S21_c?qlt=92&w=600&h=765&v=1&fmt=auto","XS,S,M,L,XL,XXL",blue,
https://m.jdsports.co.uk/product/red-nike-england-2022-match-away-shirt/16586226/,Nike England 2022 Match Away Shirt,16586226,"Proudly show your support with this men&#039;s England 2022 Match Away Shirt from Nike. Worn by the pros, this slim fit shirt is made using a lightweight and smooth poly fabric that&#039;s equipped with Dri-FIT ADV tech to wick away sweat for cool comfort. Landing in a Challenge Red colourway, it features raised knit in key areas for breathability and short sleeves with a spread collar for a retro feel. Signed off with the Swoosh and England crest to the chest. Machine washable. | Our model is 6&#039;1&quot; with a 39&quot; chest and wears a size medium.",80,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_556940_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_556940_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_556940_d?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_556940_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_556940_e?qlt=92&w=600&h=765&v=1&fmt=auto",L,red,
https://m.jdsports.co.uk/product/nike-nba-la-lakers-essential-fleece-pullover-hoodie/17101351/,Nike NBA LA Lakers Essential Fleece Pullover Hoodie,17101351,"Show your support with this men&#039;s NBA LA Lakers Essential Fleece Pullover Hoodie from Nike. In a Field Purple colourway, this standard fit hoodie is cut from soft brushed fleece for a comfy wear. It features an adjustable hood for custom coverage, with ribbed trims for a secure feel and a kangaroo pouch for your essentials. Finished up with signature Lakers branding and a Nike Swoosh to the chest. Machine washable | Our model is 5&#039;11&quot; with a 38&quot; chest and wears a size medium.",40,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_611810_d?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611810_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611810_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611810_a?qlt=92&w=600&h=765&v=1&fmt=auto",L,,
https://m.jdsports.co.uk/product/blue-adidas-badge-of-sport-linear-logo-tracksuit/16527634/,adidas Badge of Sport Linear Logo Tracksuit,16527634,"Add some street-ready heat to your &#039;drobe with this men&#039;sBadge of Sport Linear Logo Tracksuit from adidas. Exclusive to JD, this regular-fit &#039;suit is cut from smooth, lightweight recycled poly for supreme comfort. In a Crew Navy colourway, it features a long-sleeve track top with a full-length zipper and a raised collar for custom coverage. The matching track pants have an elasticated waistband with a drawcord to adjust the fit, and side pockets for easy storage. With ribbed trims throughout to secure the shape, it&#039;s finished up with the iconic Badge of Sport logo at the chest and thigh. Signed off with a heritage adidas wordmark on the sleeve. Machine washable. | Our model is 6&#039;0&quot; with a 40&quot; chest and wears a size medium.|IC0387",30,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_558427_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_558427_d?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_558427_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_558427_e?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_558427_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_558427_f?qlt=92&w=600&h=765&v=1&fmt=auto",XS,blue,
https://m.jdsports.co.uk/product/red-adidas-belgium-2022-match-home-shirt/16573037/,adidas Belgium 2022 Match Home Shirt,16573037,"Inspired by the team&#039;s nickname, this men&#039;s Belgium 2022 Match Home Shirt from adidas gets you gearing up just like the pros. In the signature Red colourway, this slim-fit shirt is made from lightweight, recycled poly fabric. It comes with HEAT.RDY tech to keep you cool when the game heats up, and features a ribbed crew neckline and short sleeves. With mesh inserts to the sides to keep you cool, this shirt is finished up with adidas branding and the legendary Belgium crest. Machine washable.|HD9413",60,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_565195_e?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_565195_d?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_565195_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_565195_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_565195_a?qlt=92&w=600&h=765&v=1&fmt=auto","S,M,L,XL,XXL",red,
