Name,Exterior,Price
★ Driver Gloves | King Snake ,Factory New,19880
StatTrak™ M4A4 | Howl ,Factory New,18880
AWP | Dragon Lore ,Factory New,18000
AK-47 | Wild Lotus ,Minimal Wear,14000
StatTrak™ M4A4 | Howl ,Minimal Wear,12390
★ Driver Gloves | Snow Leopard ,Factory New,10970
AWP | Dragon Lore ,Field-Tested,9270
★ M9 Bayonet | Crimson Web ,Factory New,8320
★ Specialist Gloves | Marble Fade ,Factory New,7960
AWP | Medusa ,Factory New,7440
★ Specialist Gloves | Tiger Strike ,Factory New,7200
StatTrak™ AK-47 | Fire Serpent ,Factory New,6750
★ Karambit | Crimson Web ,Factory New,5980
★ StatTrak™ M9 Bayonet | Lore ,Factory New,5800
★ Butterfly Knife | Lore ,Minimal Wear,5740
★ StatTrak™ Butterfly Knife | Lore ,Minimal Wear,5740
★ StatTrak™ Butterfly Knife | Fade ,Factory New,5330
★ Driver Gloves | Black Tie ,Factory New,5170
★ Sport Gloves | Nocts ,Factory New,4940
★ Moto Gloves | Blood Pressure ,Factory New,4880
★ StatTrak™ Karambit | Lore ,Factory New,4640
★ StatTrak™ Karambit | Fade ,Factory New,4240
★ StatTrak™ Butterfly Knife | Autotronic ,Factory New,4220
★ Specialist Gloves | Field Agent ,Factory New,4210
★ StatTrak™ M9 Bayonet | Lore ,Minimal Wear,4020
★ M9 Bayonet | Fade ,Factory New,3700
★ StatTrak™ Butterfly Knife | Marble Fade ,Factory New,3700
★ StatTrak™ M9 Bayonet | Fade ,Factory New,3700
★ Hand Wraps | Cobalt Skulls ,Factory New,3630
★ StatTrak™ Skeleton Knife | Fade ,Factory New,3440
★ Butterfly Knife | Gamma Doppler ,Factory New,3300
★ StatTrak™ Butterfly Knife | Gamma Doppler ,Factory New,3300
★ Sport Gloves | Scarlet Shamagh ,Factory New,3250
★ Paracord Knife | Crimson Web ,Factory New,3200
★ Butterfly Knife | Lore ,Field-Tested,3150
★ StatTrak™ Butterfly Knife | Lore ,Field-Tested,3150
