"A genuinely Budget friendly Hotel and exceptional employees , clean and older decors in room and suites.
However they are currently remolding spa and swimming pool , area .
When you enter the lobby area ,you may hear some  really nice Jazz music  and a fireplace  and a feel of positive energy and relaxation as you go through the check in process.
Ms. R and the rest of her working professionals are genuinely pleasant and the Cleaning staff and Maintenance personnel are hard workers day in and day out.  
",Quest787323,2023-05-19
"I was Greeted as Diamond Member (take time to Join,better discounts Including AARP/AAA) ,purpose of trip Kia Corporations mailed me a Free Recall notice and i live a distance from the Irvine Kia Dealership,which happens to be several blocks away, from this economic Quality Inn with really comfortable rooms ,and  the working staff possess exceptional customer service skills and the maintenance support staff and housecleaning people  are genuinely Quality, and by the way Quality Inn does practice Covid-19 protocols', daily and friendly and  just a Happy Group of Team Players at this Quality Inn Location.
However i noticed upon my Journeys that  some High Priced Modalities ,have not replenished the Germ Free Dispensers by the Elevators' and door exits ? perhaps they should pay attention now that I did Mention this Health and Germ Concern !????  ",Quest787323,2023-02-08
This is the worst hotel you would ever try going to this hotel is nasty and especially they don’t even offer refunds I didn’t even go to the hotel and couldn’t get a refund back I waited 3 weeks for nothing this hotel is literally the bottom of the barrel when it comes to finding places would not recommend to anyone don’t book here and if you do and try to get your refund back good luck,Lam2swae,2022-11-06
"I like to start with a positive - great location near the freeway and SNA airport.  
That is it.  This is the only reason I gave ANY stars.

I am going to directly address issues from Quality Inn's ""Your Satisfaction"" card that was on our table in the room.   I brought the card home with me.

Commitment to your satisfaction - Any issue was completely ignored or unaddressed.
I asked for a washcloth to be delivered to the room - never arrived.  
They make nothing right.

Commitment to clean - Filthy place, including dog feces on the property, stacks of beer cans/trash, disgusting ""spa,"" piles of dirt in carpet corners, and the list goes on.
Even the elevators were terrible.  You would need a prescription of antibiotics prior to go in to the pool.  Threadbare dingy linens.

Forgot something?  ""...Ask front desk and we'll be glad to help..."" 
I asked for a plastic fork, a fresh towel (sorry they are all dirty), etc.  

Room to be Green - Linens replaced every third day unless you ask?  Hello?  No one told me this upon check-in.  In three days we never had one single housekeeping thing done.  I wouldn't trust that anyway.

Bed - Hard as a rock 

Breakfast  - And I quote DIRECTLY from their room card...""Start your day right with a complimentary hot, fresh and health breakfast.""  UHHH...not even WATER was available in the lobby.  ""GO TO MCDONALD'S"" is what I was told for coffee or food, as all they had was an old pastry in a grab and go bag.  

Service - Horrid.  Rude and ignorant people.  

Essentials - And AGAIN I quote....""Get the value you deserve with free Wifi (DID NOT WORK), newspaper (NONE), tea and coffee""...one lousy pack..However, there is an in-room fridge.  That was actually true!  

I complained upon check-out, and was told ""sorry"" and ""I will tell the manager"" who was of course not there when I asked to see him or her.  

This is an outrage.  I truly feel this hotel is one of  those freebies to addicts/homeless also.  Lots of sketchy men hanging around at night.  

I intend to take this issue to higher levels.  I want nothing but to warn the general public to stay away.  I would never enter a ""Quality Inn"" anywhere again on this planet.",H354BPkimberlys,2022-08-29
"Poorly maintained, dirty, I would not stay here again.   Unless I was looking for a Hooker. Pool was green  with algae,.  So was the 'spa'.  No thumbs up.    I booked with hotels.com. Disappointed.  No house keeping unless you ask prior day. No breakfast.  Probably just as well.   There is a McDonald's next door.",robertnH2199NP,2022-07-04
"I had damage done to my car by another guest who tossed a burning cigarette from there 3rd floor balcony and landing on  the roof of my car  and left a big brown spot . Most of it buffed off but there is still a very small spot burn in the paint.  Still it should not have happen .  Did report and did have a desk clerk look at before I left and still 
 I have not heard back from a manger . 5 days now . Does anyone care at this hotel ?  Wonder if they would care if that burning cigarette would have landed in the dry flower bed and started the hotel on fire and guests got hurt ??  I would not have expected this from a $125.00 night Hotel. I did contact Choice hotels.",642richarde,2022-05-23
"It’s basic basic but does the job for a 1 night stay. Nice to have a small Chinese food restaurant attached but you can walk to several other options. Pool yes, but hot tub, no! The free breakfast was “grab and go”, so basically a few things to microwave and a bottle of water. 
Book via a travel site (vs their web site) and save $20, but you won’t get points for your stay. 
VictorB",U6319UOvictorb,2022-01-04
"OK first thing when I arrived I knew it was bad. The parking garage was filled with homeless people, drug dealers, etc. The door into the hotel had a sign that read ""please use room key to unlock"" but there was not a lock on the door it looks like it had been stolen and the door opened without a room key needed. I walked through what looked like a hallway out of a horror movie with trash cracked tiles and flickering lights to the elevator. While I was checking in the woman working the front desk said probably no more than 5 words to me. I asked about the price match policy that was on the website and she said they don't do it. When I got to my room it was clearly dirty, like instead of changing the sheets the housekeepers just made the bed. All the furniture looks like it has been there since the 70s, scratches everywhere, and visibly disgusting. The fridge and microwave were the oldest appliances that I have ever seen, they could not have been less than 30 years old. The next thing I notice is that the lock on the door to the room seemed to not be working. I called Quality Inn customer service to report how gross the room was. While on the phone with customer service I get a call on the phone in the room from the front desk and they tell me I have 5 minutes to get out of the hotel. I go to the front desk to talk this over and be moved to a clean room and the manager Linda starts screaming at me telling me to leave accusing me of lying about the state of the room. I asked if I would get all my money back if I left and she said: ""I don't know"". At that point, I knew if I left I would not get my money back. Linda continues to scream and verbally abuse me to the point where I start crying, Linda then instructs me to sit in the lobby and wait. I sit in the lobby crying for almost an hour with no word from anyone. Linda then returns and shows me some other rooms she called VIP rooms. They were identical to the first room. I accept one because there wasn't availability at any other hotels and I was exhausted. Looking back on this stay I honestly think it may have been a better idea to have slept in my car. I kept a list of every problem I had during my stay:
- BUGS EVERYWHERE bathroom, public areas, even in the beds!
-The door onto the balcony DOES NOT LOCK! huge security concern especially with dozens of homeless people in the parking lot
- THE WATER IS BROWN it is obviously unsafe to drink, and they do not provide clean drinking water
- cracks in the walls and tiles
-paint peeling and popcorn ceiling falling off
suspicious stains EVERYWHERE what looked like blood stains on the curtains and poop stains in the carpet
-The key cards stop working if they are near a cell phone, so don't keep it in your purse or pocket
-The ""breakfast"" looks like something they would give you in a public elementary school. inedible microwave burritos and stale raisin snails
- The newspapers in the lobby are extremely right-biased, some of the articles contained straight up lies. 
-The pool breakfast and fitness room are closed even though every other hotel I have seen is open. 

And finally the worst part of my stay, after I checked out and had gotten home I checked my bank account. THEY OVERCHARGED ME BY 100 DOLLARS. I have spent the last 3 days emailing and calling the hotel and corporate and they have done nothing for me. Looking at other reviews and BBB complaints it looks like I am not the only guest they do this to. my guess is they overcharge every guest and just hope you do not notice. THIS PLACE NEEDS TO BE SHUT DOWN",phoebsss,2021-06-23
The property is poorly managed.  Avoid at all costs! There were so many problems with this hotel: 1. The older gentleman who checked us in had his mask pulled down to his chin (not covering his mouth or nose) and was constantly coughing. 2. The hotel room had a quarter of a roll of toilet paper in the bathroom. No spare roll. We had to go to front desk to get another roll. 3. The microwave didn’t work. 4. The bathroom faucet leaked a steady stream of water non-stop. Not a trickle but a stream! 5. I am disabled and asked for a room on the main floor in advance but we were given a room on top floor as far away from the lobby as possible. 6. To top it all off: the phone in our room rang at 4:15am. No more sleep for me that night.,LolaHonolulu,2021-06-15
"•	Found two cockroaches in the bathroom during the night. 
•	The non-smoking room smelled like cigarettes. 
•	It looked as though someone threw up from one of the balconies around the pool.  We got there on Friday and it was still not cleaned up when we left on Sunday morning.
•	The “Breakfast” was a breakfast burrito, (the kind that are 3/$1.00), water and a pre-wrapped Danish.
•	The carpet needed cleaning.
•	We could not turn off the water in the bath / shower.
•	The couch had holes and stains.  
•	The furniture was so dirty; I was scared to sit anywhere.",Q5870RXgregm,2021-06-06
