Title,Variation 1 Value,Variation 2 Name,Variation 2 Value,Variation 3 Name,Variation 3 Value,Original Price,Discounted Price,Web Link,Original Price,Discounted Price,Web Link,Original Price,Discounted Price,Web Link,Original Price,Discounted Price,Web Link,Original Price,Discounted Price,Web Link
Apple MagSafe Charger,,,,,,,,https://www.amazon.ae/Apple-MHXH3ZE-A-MagSafe-Charger/dp/B08L85T621/ref=sr_1_5?crid=10DFF075ROYHT&keywords=Apple+MagSafe+Charger&qid=1685982466&sprefix=%2Caps%2C421&sr=8-5,,,https://www.noon.com/uae-en/20w-magsafe-charger-for-iphone-14-13-and-12-series-white/N45055575A/p/?o=c64f389cfeec628e,,,https://istyle.ae/mhxh3ze-a-magsafe-charger.html,,,,,,https://uae.sharafdg.com/product/apple-magsafe-charger/
Apple 20W USB-C Power Adapter,,,,,,,,https://www.amazon.ae/Apple-20W-USB-C-Power-Adapter/dp/B08L85KDV5/ref=sr_1_5?crid=3SD7OQPS4I0H7&keywords=Apple+20W+USB-C+Power+Adapter&qid=1685982498&sprefix=apple+magsafe+charger%2Caps%2C281&sr=8-5,,,https://www.noon.com/uae-en/20w-usb-c-3-pin-power-adapter-white/N41193796A/p/?o=b1e04a761e65feac,,,https://istyle.ae/mhjf3ze-a-20w-usb-c-power-adapter.html,,,https://www.menakart.com/apple-20w-usb-c-power-adapter.html,,,https://uae.sharafdg.com/product/apple-20w-usb-c-power-adapter/
Apple USB-C to Lightning Cable,1 Meter,,,,,,,https://www.amazon.ae/Apple-USB-C-Lightning-Cable-1m/dp/B09JRG6GLX/ref=sr_1_11?crid=23VH62XBUUROY&keywords=Apple+USB-C+to+Lightning+Cable&qid=1685982520&sprefix=apple+20w+usb-c+power+adapter%2Caps%2C281&sr=8-11,,,https://www.noon.com/uae-en/usb-c-to-lightning-cable-1-meter-white/N11414885A/p/?o=be62ffcf66a4c91a,,,https://istyle.ae/catalog/product/view/id/20147/s/mm0a3ze-a-usb-c-to-lightning-cable-1-m/,,,,,,https://uae.sharafdg.com/product/apple-usb-type-c-to-lightning-cable-1m-white/?cpn=17251412147&pl=&kw=&adg=&ch=x&gclid=CjwKCAjwvpCkBhB4EiwAujULMgT69Xg1GVJlGWMndqLCiHZ4Iy2rqaVEjnA9tW7ISUrRXUV3nKrIzxoCavEQAvD_BwE
,2 Meter,,,,,,,https://www.amazon.ae/Apple-USB-C-Lightning-Cable-2m/dp/B09BTBTJF7/ref=sr_1_5?crid=23VH62XBUUROY&keywords=Apple+USB-C+to+Lightning+Cable&qid=1685982520&sprefix=apple+20w+usb-c+power+adapter%2Caps%2C281&sr=8-5,,,https://www.noon.com/uae-en/usb-c-to-lightning-cable-2-meter-white/N19010188A/p/?o=f8076f56695cb62c,,,,,,https://www.menakart.com/usb-c-lightning-cable-2m-mkq42.html,,,https://uae.sharafdg.com/product/apple-lightning-to-usb-type-c-cable-2m-white/?promo=2949376?dg=false
Smarthphone Screen Protector (for ordered phone),All phones,,,,,,,,,,,,,,,,,,,
Samsung Galaxy Buds Pro,Black,,,,,,,https://www.amazon.ae/SAMSUNG-Wireless-Earbuds-Intelligent-Canceling/dp/B08TCD9BBS/ref=sr_1_4?crid=2PCZIWFVPQMUW&keywords=Galaxy+Buds+Pro&qid=1679248995&sprefix=%2Caps%2C367&sr=8-4,,,https://www.noon.com/galaxy-buds-pro-phantom-black/N43682715A/p/?o=e6c23e2831db673e,,,,,,,,,
Samsung Galaxy Buds Pro,Silver,,,,,,,https://www.amazon.ae/SAMSUNG-Wireless-Earbuds-Intelligent-Canceling/dp/B08TCB8H4L/ref=sr_1_4?crid=2PCZIWFVPQMUW&keywords=Galaxy%2BBuds%2BPro&qid=1679248995&sprefix=%2Caps%2C367&sr=8-4&th=1,,,https://www.noon.com/uae-en/galaxy-buds-pro-phantom-silver/N43793530A/p/?o=b25b592240d23b9a,,,,,,,,,
Samsung Galaxy Buds Pro,Purple,,,,,,,https://www.amazon.ae/SAMSUNG-Wireless-Earbuds-Intelligent-Canceling/dp/B08TCDV76V/ref=sr_1_4?crid=2PCZIWFVPQMUW&keywords=Galaxy%2BBuds%2BPro&qid=1679248995&sprefix=%2Caps%2C367&sr=8-4&th=1,,,https://www.noon.com/uae-en/galaxy-buds-pro-phantom-violet/N43790304A/p/?o=fd66515450b437ad,,,,,,,,,
Samsung Galaxy Buds+,Black,,,,,,,https://www.amazon.ae/Samsung-SM-R175NZ-Galaxy-Buds-Blue/dp/B08647KXJK/ref=sr_1_4?crid=297609JWU4QMP&keywords=Samsung%2BGalaxy%2BBuds%2B&qid=1683288214&sprefix=samsung%2Bgalaxy%2Bbuds%2B%2Caps%2C223&sr=8-4&th=1,,,,,,,,,,,,
Samsung Galaxy Buds+,Blue,,,,,,,https://www.amazon.ae/Samsung-SM-R175NZ-Galaxy-Buds-Blue/dp/B08647KXJK/ref=sr_1_4?crid=297609JWU4QMP&keywords=Samsung%2BGalaxy%2BBuds%2B&qid=1683288214&sprefix=samsung%2Bgalaxy%2Bbuds%2B%2Caps%2C223&sr=8-4&th=1,,,,,,,,,,,,
