Address,Property Type,Sq. Ft.,Owner,Market Value,Assessed Value,Tax,Penalty,Interest,Total
04567 Taylor Estates Suite 685,COMMERCIAL A,482,04567 Taylor Estates Suite 685 LAND TR Fee Owner,"$468,764 ","$63,110 ",$0 ,$0.00 ,$0.00 ,$0.00 
440 Clark Forks,COMMERCIAL B,211,440 Clark Forks LAND TR Fee Owner,"$876,328 ","$25,095 ",$0 ,$0.00 ,$0.00 ,$0.00 
33242 Betty Burg,COMMERCIAL B,452,33242 Betty Burg LAND TR Fee Owner,"$153,017 ","$99,420 ",$0 ,$0.00 ,$0.00 ,$0.00 
6834 Baker Ville,COMMERCIAL B,165,6834 Baker Ville LAND TR Fee Owner,"$132,751 ","$25,552 ",$0 ,$0.00 ,$0.00 ,$0.00 
63677 Jessica Prairie Suite 580,COMMERCIAL B,724,63677 Jessica Prairie Suite 580 LAND TR Fee Owner,"$423,295 ","$82,038 ",$0 ,$0.00 ,$0.00 ,$0.00 
08142 Ortega Station,COMMERCIAL A,412,08142 Ortega Station LAND TR Fee Owner,"$489,150 ","$26,817 ",$0 ,$0.00 ,$0.00 ,$0.00 
8399 Angela Keys Suite 127,COMMERCIAL B,855,8399 Angela Keys Suite 127 LAND TR Fee Owner,"$810,582 ","$95,394 ",$0 ,$0.00 ,$0.00 ,$0.00 
6757 David Stravenue Apt. 302,COMMERCIAL B,599,6757 David Stravenue Apt. 302 LAND TR Fee Owner,"$553,703 ","$39,955 ",$0 ,$0.00 ,$0.00 ,$0.00 
76091 Jeffrey Unions,COMMERCIAL B,293,76091 Jeffrey Unions LAND TR Fee Owner,"$449,588 ","$96,496 ",$0 ,$0.00 ,$0.00 ,$0.00 
395 Ryan Burgs Apt. 534,COMMERCIAL A,679,395 Ryan Burgs Apt. 534 LAND TR Fee Owner,"$470,221 ","$90,465 ",$0 ,$0.00 ,$0.00 ,$0.00 
30023 Darren Fork Suite 470,COMMERCIAL B,782,30023 Darren Fork Suite 470 LAND TR Fee Owner,"$659,211 ","$93,265 ",$0 ,$0.00 ,$0.00 ,$0.00 
155 Shannon Valleys,RESIDENTIAL,486,155 Shannon Valleys LAND TR Fee Owner,"$250,128 ","$47,369 ",$0 ,$0.00 ,$0.00 ,$0.00 
