Address,Property Type,Sq. Ft.,Owner,Market Value,Assessed Value,Tax,Penalty,Interest,Total
5788 MAIN ST,RESIDENTIAL A,"2,380",5788 MAIN ST LAND TR Fee Owner,"$439,102","$179,900",$0,$0.00,$0.00,$0.00
2365 MAIN ST,COMMERCIAL B,"8,938",2365 MAIN ST LAND TR Fee Owner,"$178,366","$23,383",$0,$0.00,$0.00,$0.00
6591 MAIN ST,COMMERCIAL A,"8,250",6591 MAIN ST LAND TR Fee Owner,"$480,893","$89,261",$0,$0.00,$0.00,$0.00
8400 MAIN ST,RESIDENTIAL B,"9,963",8400 MAIN ST LAND TR Fee Owner,"$470,388","$39,568",$0,$0.00,$0.00,$0.00
9828 MAIN ST,RESIDENTIAL B,"2,760",9828 MAIN ST LAND TR Fee Owner,"$499,766","$81,799",$0,$0.00,$0.00,$0.00
6981 MAIN ST,COMMERCIAL A,"2,723",6981 MAIN ST LAND TR Fee Owner,"$969,453","$140,598",$0,$0.00,$0.00,$0.00
4771 MAIN ST,RESIDENTIAL B,"6,459",4771 MAIN ST LAND TR Fee Owner,"$476,848","$76,328",$0,$0.00,$0.00,$0.00
8035 MAIN ST,COMMERCIAL A,"3,498",8035 MAIN ST LAND TR Fee Owner,"$231,715","$156,536",$0,$0.00,$0.00,$0.00
4998 MAIN ST,COMMERCIAL B,"1,552",4998 MAIN ST LAND TR Fee Owner,"$758,431","$169,385",$0,$0.00,$0.00,$0.00
9703 MAIN ST,COMMERCIAL A,"2,591",9703 MAIN ST LAND TR Fee Owner,"$60,810","$104,856",$0,$0.00,$0.00,$0.00
3662 MAIN ST,RESIDENTIAL B,"1,030",3662 MAIN ST LAND TR Fee Owner,"$599,840","$199,694",$0,$0.00,$0.00,$0.00
9966 MAIN ST,RESIDENTIAL A,"2,846",9966 MAIN ST LAND TR Fee Owner,"$722,880","$58,522",$0,$0.00,$0.00,$0.00
5351 MAIN ST,COMMERCIAL B,"2,872",5351 MAIN ST LAND TR Fee Owner,"$708,020","$195,313",$0,$0.00,$0.00,$0.00
6703 MAIN ST,COMMERCIAL B,"1,680",6703 MAIN ST LAND TR Fee Owner,"$925,789","$119,241",$0,$0.00,$0.00,$0.00
5291 MAIN ST,RESIDENTIAL A,"9,738",5291 MAIN ST LAND TR Fee Owner,"$76,736","$54,728",$0,$0.00,$0.00,$0.00
2567 MAIN ST,RESIDENTIAL A,"1,833",2567 MAIN ST LAND TR Fee Owner,"$160,598","$38,643",$0,$0.00,$0.00,$0.00
1691 MAIN ST,RESIDENTIAL A,"8,571",1691 MAIN ST LAND TR Fee Owner,"$232,904","$157,414",$0,$0.00,$0.00,$0.00
4485 MAIN ST,RESIDENTIAL A,"7,492",4485 MAIN ST LAND TR Fee Owner,"$981,670","$137,477",$0,$0.00,$0.00,$0.00
5596 MAIN ST,RESIDENTIAL A,"9,758",5596 MAIN ST LAND TR Fee Owner,"$571,852","$30,876",$0,$0.00,$0.00,$0.00
1115 MAIN ST,COMMERCIAL A,"2,483",1115 MAIN ST LAND TR Fee Owner,"$780,650","$36,304",$0,$0.00,$0.00,$0.00
9526 MAIN ST,RESIDENTIAL A,"5,517",9526 MAIN ST LAND TR Fee Owner,"$627,565","$173,751",$0,$0.00,$0.00,$0.00
6815 MAIN ST,COMMERCIAL A,"2,730",6815 MAIN ST LAND TR Fee Owner,"$480,583","$90,993",$0,$0.00,$0.00,$0.00
6720 MAIN ST,RESIDENTIAL A,"3,856",6720 MAIN ST LAND TR Fee Owner,"$344,600","$173,625",$0,$0.00,$0.00,$0.00
3213 MAIN ST,RESIDENTIAL B,"3,062",3213 MAIN ST LAND TR Fee Owner,"$222,649","$23,084",$0,$0.00,$0.00,$0.00
3341 MAIN ST,COMMERCIAL A,"3,778",3341 MAIN ST LAND TR Fee Owner,"$445,033","$152,096",$0,$0.00,$0.00,$0.00
3488 MAIN ST,RESIDENTIAL B,"4,389",3488 MAIN ST LAND TR Fee Owner,"$299,129","$22,148",$0,$0.00,$0.00,$0.00
4199 MAIN ST,RESIDENTIAL B,"8,006",4199 MAIN ST LAND TR Fee Owner,"$608,966","$197,101",$0,$0.00,$0.00,$0.00
1471 MAIN ST,COMMERCIAL B,"1,417",1471 MAIN ST LAND TR Fee Owner,"$842,292","$5,671",$0,$0.00,$0.00,$0.00
7939 MAIN ST,COMMERCIAL B,"8,488",7939 MAIN ST LAND TR Fee Owner,"$431,893","$35,002",$0,$0.00,$0.00,$0.00
7126 MAIN ST,RESIDENTIAL B,"8,755",7126 MAIN ST LAND TR Fee Owner,"$537,865","$137,491",$0,$0.00,$0.00,$0.00
5378 MAIN ST,COMMERCIAL B,"9,594",5378 MAIN ST LAND TR Fee Owner,"$275,754","$120,491",$0,$0.00,$0.00,$0.00
2948 MAIN ST,COMMERCIAL B,"5,203",2948 MAIN ST LAND TR Fee Owner,"$318,182","$42,206",$0,$0.00,$0.00,$0.00
4096 MAIN ST,COMMERCIAL A,"5,202",4096 MAIN ST LAND TR Fee Owner,"$882,655","$118,985",$0,$0.00,$0.00,$0.00
8343 MAIN ST,COMMERCIAL B,"9,253",8343 MAIN ST LAND TR Fee Owner,"$479,151","$69,309",$0,$0.00,$0.00,$0.00
8049 MAIN ST,RESIDENTIAL A,"4,040",8049 MAIN ST LAND TR Fee Owner,"$340,283","$126,457",$0,$0.00,$0.00,$0.00
9592 MAIN ST,COMMERCIAL A,"5,385",9592 MAIN ST LAND TR Fee Owner,"$659,454","$124,277",$0,$0.00,$0.00,$0.00
5029 MAIN ST,COMMERCIAL A,"1,739",5029 MAIN ST LAND TR Fee Owner,"$891,956","$67,876",$0,$0.00,$0.00,$0.00
3899 MAIN ST,RESIDENTIAL B,"4,592",3899 MAIN ST LAND TR Fee Owner,"$244,034","$163,191",$0,$0.00,$0.00,$0.00
2208 MAIN ST,COMMERCIAL A,"8,517",2208 MAIN ST LAND TR Fee Owner,"$664,980","$108,891",$0,$0.00,$0.00,$0.00
2915 MAIN ST,COMMERCIAL B,"3,839",2915 MAIN ST LAND TR Fee Owner,"$428,340","$35,718",$0,$0.00,$0.00,$0.00
7759 MAIN ST,RESIDENTIAL A,"8,473",7759 MAIN ST LAND TR Fee Owner,"$882,732","$147,967",$0,$0.00,$0.00,$0.00
5193 MAIN ST,RESIDENTIAL B,"1,379",5193 MAIN ST LAND TR Fee Owner,"$807,592","$164,351",$0,$0.00,$0.00,$0.00
3999 MAIN ST,RESIDENTIAL A,"8,552",3999 MAIN ST LAND TR Fee Owner,"$988,704","$66,138",$0,$0.00,$0.00,$0.00
6107 MAIN ST,RESIDENTIAL B,"4,729",6107 MAIN ST LAND TR Fee Owner,"$248,496","$152,867",$0,$0.00,$0.00,$0.00
2085 MAIN ST,RESIDENTIAL B,"6,644",2085 MAIN ST LAND TR Fee Owner,"$413,466","$53,414",$0,$0.00,$0.00,$0.00
8451 MAIN ST,COMMERCIAL A,"1,809",8451 MAIN ST LAND TR Fee Owner,"$531,591","$110,703",$0,$0.00,$0.00,$0.00
2606 MAIN ST,COMMERCIAL B,"2,391",2606 MAIN ST LAND TR Fee Owner,"$812,059","$144,756",$0,$0.00,$0.00,$0.00
4933 MAIN ST,COMMERCIAL B,"1,717",4933 MAIN ST LAND TR Fee Owner,"$246,459","$198,247",$0,$0.00,$0.00,$0.00
2946 MAIN ST,COMMERCIAL B,"8,967",2946 MAIN ST LAND TR Fee Owner,"$207,302","$64,049",$0,$0.00,$0.00,$0.00
6314 MAIN ST,RESIDENTIAL B,"2,187",6314 MAIN ST LAND TR Fee Owner,"$873,719","$110,474",$0,$0.00,$0.00,$0.00
5381 MAIN ST,RESIDENTIAL A,"9,378",5381 MAIN ST LAND TR Fee Owner,"$942,803","$131,845",$0,$0.00,$0.00,$0.00
2787 MAIN ST,COMMERCIAL A,"4,850",2787 MAIN ST LAND TR Fee Owner,"$190,988","$197,312",$0,$0.00,$0.00,$0.00
6270 MAIN ST,RESIDENTIAL A,"9,480",6270 MAIN ST LAND TR Fee Owner,"$183,572","$31,159",$0,$0.00,$0.00,$0.00
5441 MAIN ST,COMMERCIAL A,"5,096",5441 MAIN ST LAND TR Fee Owner,"$556,184","$30,106",$0,$0.00,$0.00,$0.00
6708 MAIN ST,COMMERCIAL A,"3,995",6708 MAIN ST LAND TR Fee Owner,"$995,444","$41,968",$0,$0.00,$0.00,$0.00
2262 MAIN ST,COMMERCIAL A,"4,333",2262 MAIN ST LAND TR Fee Owner,"$635,544","$144,252",$0,$0.00,$0.00,$0.00
4322 MAIN ST,RESIDENTIAL A,"4,253",4322 MAIN ST LAND TR Fee Owner,"$284,387","$42,327",$0,$0.00,$0.00,$0.00
8670 MAIN ST,RESIDENTIAL B,"2,545",8670 MAIN ST LAND TR Fee Owner,"$736,606","$47,955",$0,$0.00,$0.00,$0.00
1076 MAIN ST,RESIDENTIAL A,"1,905",1076 MAIN ST LAND TR Fee Owner,"$718,406","$58,020",$0,$0.00,$0.00,$0.00
8287 MAIN ST,RESIDENTIAL B,"3,576",8287 MAIN ST LAND TR Fee Owner,"$833,763","$87,052",$0,$0.00,$0.00,$0.00
7323 MAIN ST,RESIDENTIAL B,"6,236",7323 MAIN ST LAND TR Fee Owner,"$983,795","$109,632",$0,$0.00,$0.00,$0.00
6505 MAIN ST,RESIDENTIAL B,"9,783",6505 MAIN ST LAND TR Fee Owner,"$111,985","$198,096",$0,$0.00,$0.00,$0.00
9524 MAIN ST,RESIDENTIAL A,"6,365",9524 MAIN ST LAND TR Fee Owner,"$83,231","$43,306",$0,$0.00,$0.00,$0.00
3150 MAIN ST,COMMERCIAL B,"9,058",3150 MAIN ST LAND TR Fee Owner,"$996,667","$142,980",$0,$0.00,$0.00,$0.00
