URL,TEXT
https://www.walgreens.com/store/c/productlist/N=376533/1/Brands=yes,+MD
https://www.walgreens.com/store/c/productlist/N=9000148102/1/Brands=yes,100 Bon
https://www.walgreens.com/store/c/productlist/N=358513/1/Brands=yes,100 Grand
https://www.walgreens.com/store/c/productlist/N=374643/1/Brands=yes,12 Benefits
https://www.walgreens.com/store/c/productlist/N=376868/1/Brands=yes,14 Hands
https://www.walgreens.com/store/c/productlist/N=9000148350/1/Brands=yes,1800
https://www.walgreens.com/store/c/productlist/N=9000148348/1/Brands=yes,19 Crimes
https://www.walgreens.com/store/c/productlist/N=369605/1/Brands=yes,21st Century
https://www.walgreens.com/store/c/productlist/N=3996/1/Brands=yes,3 Musketeers
https://www.walgreens.com/store/c/productlist/N=38/1/Brands=yes,3M
https://www.walgreens.com/store/c/productlist/N=369825/1/Brands=yes,4-Way
https://www.walgreens.com/store/c/productlist/N=370416/1/Brands=yes,40 Carrots
https://www.walgreens.com/store/c/productlist/N=900048148/1/Brands=yes,5 Hour ENERGY
https://www.walgreens.com/store/c/productlist/N=302352/1/Brands=yes,5 Second
https://www.walgreens.com/store/c/productlist/N=9000153900/1/Brands=yes,5 Surprise
https://www.walgreens.com/store/c/productlist/N=9000149402/1/Brands=yes,7 Moons
https://www.walgreens.com/store/c/productlist/N=9000154940/1/Brands=yes,7-UP
https://www.walgreens.com/store/c/productlist/N=308258/1/Brands=yes,7-Up
https://www.walgreens.com/store/c/productlist/N=9000148428/1/Brands=yes,9 Elements
https://www.walgreens.com/store/c/productlist/N=331/1/Brands=yes,9 Lives
https://www.walgreens.com/store/c/productlist/N=520683/1/Brands=yes,A Little Something
https://www.walgreens.com/store/c/productlist/N=415388/1/Brands=yes,A&D
https://www.walgreens.com/store/c/productlist/N=9000128394/1/Brands=yes,A&D Medical
https://www.walgreens.com/store/c/productlist/N=352321/1/Brands=yes,A&W
https://www.walgreens.com/store/c/productlist/N=1994/1/Brands=yes,A+D
https://www.walgreens.com/store/c/productlist/N=351852/1/Brands=yes,A.1.
https://www.walgreens.com/store/c/productlist/N=305150/1/Brands=yes,Abbott
