00 École de Drones,info@00dronetraining.ca,514-478-2043,https://00dronetraining.ca/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,- - --- ---
0003D Drone School,info@flightphoto.ca,204-804-5399,https://flightphoto.ca/drone-pilot-certificates,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,2190 Argyle Avenue West Vancouver British Columbia V7V 1A4
01right Drone Academy,hi@01r.academy,778-999-9511,https://01r.academy/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,
11 Alpha Drone Ground School,instructor@11alpha.ca,604-726-8914,https://11alpha.ca/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,105-321 Railway ST Vancouver British Columbia V6A1A4
1st Squadrone,info@ultmed.com,778-269-2902,https://www.ultmed.com/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,4715Hammond Bay Rd. Nanaimo British Columbia V9T 5A9
43 Degrees North Enterprises Ltd.,thoppe@43north.ca,403-370-3457,http://www.43north.ca/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,303-9563 Jensen RD Lake Country British Columbia V4V 1S6
49 North Helicopters Training,mail@49northhelicopters.com,250-926-9292,https://www.49northhelicopters.com/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,2200 Airport Dr Campbell River British Columbia V9H 0E2
Aboriginal Training Services Ltd.,admin@abtraining.ca,403-615-8038,https://www.abtraining.ca/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,14410-118 Ave NW Edmonton Alberta T5L 2M5
ACCESS (Centre de formation pour adultes/Adult Education and Career Training Center),iaccess@rsb.qc.ca,514-814-7665,https://www.access.rsb.qc.ca/en/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,163 rue Cleghorn Saint-Hubert Quebec J4R 2J4
Advanced Drone Services,jason@advanceddroneservices.ca,236-886-1910,https://www.advanceddroneservices.ca/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,"596651 CONCESSION 10, RR 5 CHATSWORTH Ontario N0H 1G0"
Advantage Drone Training,wehrweinmike@gmail.com,403-393--717,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/No%20web%20Site,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,282 Fairmont Blvd Lethbridge Alberta T1K 7L9
Aerial Assets,aerialassets.ca@gmail.com,587-288-5050,https://aerialassets.ca/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,Box 71144 SS PO Calgary Alberta T3B 5K2
Aerial Observation Services / Studio Eh Productions,mhoffman@telus.net,1-403-715-7307,http://www.aerialobservationservices.ca/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,364 Red Crow BLVD W Lethbridge Alberta T1K 7M2
Aerialogic Technology Inc.,admin@aerialogic.ca,587-215--800,https://aerialogic.ca/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,"38 Ave NE Calgary Alberta ,T2E 2M3"
Aero-Photos.ca,mikeve@aero-photos.ca,613-204-2413,https://www.aero-photos.ca/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,171 Country road 23 RD Merrickville Ontario K0G 1N0
Aerotech Drone Solutions,Info@aerotechdronesolutions.ca,647-994-3589,https://www.aerotechdronesolutions.ca/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,Buttonville Airport 2833 16th Ave Markham Ontario L3R 0P8
AeroVision Canada Inc.,training@aerovisioncanada.com,902-450-2824,https://aerovisioncanada.com/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,504-6940 Mumford Rd Halifax Nova Scotia B3L 0B7
Ag Business and Crop Inc,info@agbusiness.ca,519-343-5454,https://agbusiness.ca/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,131 Frank Lambier CRT Palmerston Ontario N0G 2P0
AgCon Aerial Corp.,info@agconaerial.com,403-813-5841,https://www.agconaerial.com/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,101-11420 27th ST SE Calgary Alberta T2Z3R6
Agile Drone Service and Security,joe@agiledrones.ca,250-216-0254,https://www.agiledrones.ca/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,3745 Seaton St. Victoria British Columbia V8Z 3W5
Airlink Aviation Consulting,info@airlinkconsulting.com,780-986-5321,https://www.airlinkconsulting.com/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,20050 5201 50th ST Leduc Alberta T9E6R2
AirTech UAV Solutions Inc.,info@airtech-solutions.ca,613-888-2901,https://www.airtech-solutions.ca/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,28 Lochinvar RD Kingston Ontario K7M 6N8
AirWrx Inc.,dfs@airwrx.com,226-344-5614,https://www.airwrx.com/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,490 Pelissier ST Windsor Ontario N9A4K9
AlteX Academy,training@altexacademy.com,905-366-1031,https://altexacademy.com/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,27-25 Valleywood DR Toronto Ontario L3R 5L9
Altohelix Corporation,info@altohelix.com,1-877-376-6378,http://altohelix.com/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,1250 Airport BLVD Toronto Ontario L1J 8P5
AltoMaxx,training@altomaxx.com,833-258-6629,https://altomaxx.com/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,004-40 Aberdeen Ave St. John’s Newfoundland and Labrador A1A 5T3
Aspect Drone Solutions,aspectdronesolutions@outlook.com,905-914-2099,https://www.aspectdronesolutions.ca/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,3-418 Cadbury Court Waterloo Ontario N2K 3G8
Atimihaw Inc.,tansi@atimihaw.com,780-318-0041,https://www.atimihaw.com/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,"RR1, Site 2, Box 26 Winfield Alberta T0C 2V0"
Automated Aeronautics Inc,Mitch@AutomatedAero.com,1-844-800-2376,http://www.automatedaero.com/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,516 Hurricane Dr Calgary Alberta T3Z 3S8
AviaEye,matkojr@matkopictures.com,778-858-6016,https://www.aviaeye.com/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,5904 191a street Surrey British Columbia V3S 7N1
Barnstormer UAV Solutions Inc.,brent@barnstormeruavsolutions.com,306-529-1374,https://barnstormeruavsolutions.com/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,2865 Angus ST Regina Saskatchewan S4S 1N7
BC Unmanned Aerial Vehicles,Jason@bcuav.ca,250-797-2467,https://bcuav.ca/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,Box 422 Chemainus British Columbia V0R 1K0
BlackHawk Aeronautical Solutions Inc.,matmatthews@blackhawkaeronautical.com,780-974-2335,https://www.blackhawkaeronautical.com/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,2340 Taylor Close Edmonton Alberta T6R 3J6
BlueForce UAV Consulting & Training,Brian.Fentiman@Blueforceuav.com,250-703-1699,https://www.blueforceuav.com/,,,https://tc.canada.ca/en/aviation/drone-safety/drone-pilot-licensing/find-drone-flight-school,318 Quarry RD Comox British Columbia V9M 3C4
