PROGRAM,DATE,YEAR
Master of Buisness Administration|4TH,April 15th, 2023
MBA 3.5|10TH,April 15th, 2023
Bachelor of Business Administration (BBA)|8TH,April 15th, 2023
Bachelor of Business Administration (BBA)|9TH,April 15th, 2023
Bachelor of Business Administration (BBA)|7TH,April 15th, 2023
BS Accounting & Finance|6TH,April 15th, 2023
BS Accounting & Finance|6TH,April 15th, 2023
BS Accounting & Finance|5TH,April 15th, 2023
ADP International Marketing and E-Commerce|4TH,April 15th, 2023
BS Economics|6TH,April 15th, 2023
BS Urdu|4TH,April 15th, 2023
ADP-Urdu|4TH,April 15th, 2023
BS Clinical Psychology|8TH,April 15th, 2023
BS Clinical Psychology|10TH,April 15th, 2023
BS Clinical Psychology|6TH,April 15th, 2023
BS Clinical Psychology|5TH,April 15th, 2023
BS Clinical Psychology|4TH,April 15th, 2023
BS Clinical Psychology|4TH,April 15th, 2023
BS Clinical Psychology|3RD,April 15th, 2023
MSc. Clinical Psychology|4TH,April 15th, 2023
MSc. Clinical Psychology|3RD,April 15th, 2023
BS Mass Communication|8TH,April 15th, 2023
MSc. Mass Communication|4TH,April 15th, 2023
BS-Media and Communication|4TH,April 15th, 2023
BS International Relations|8TH,April 15th, 2023
BS International Relations|7TH,April 15th, 2023
BS International Relations|6TH,April 15th, 2023
BS International Relations|4TH,April 15th, 2023
M.A. English|4TH,April 15th, 2023
M.A. English|3RD,April 15th, 2023
M.A. English|3RD,April 15th, 2023
BS English|8TH,April 15th, 2023
BS English|9TH,April 15th, 2023
BS English|7TH,April 15th, 2023
BS English|7TH,April 15th, 2023
BS English|6TH,April 15th, 2023
BS English|5TH,April 15th, 2023
BS Clinical Psychology|5TH,April 17th, 2023
ADP Business Studies|4TH,April 17th, 2023
ADP Business Studies|3RD,April 17th, 2023
Master of Buisness Administration|4TH,April 17th, 2023
Master of Buisness Administration|4TH,April 17th, 2023
Master of Buisness Administration|3RD,April 17th, 2023
Master of Buisness Administration|3RD,April 17th, 2023
MBA 3.5|10TH,April 17th, 2023
Bachelor of Business Administration (BBA)|8TH,April 17th, 2023
Bachelor of Business Administration (BBA)|9TH,April 17th, 2023
Bachelor of Business Administration (BBA)|7TH,April 17th, 2023
Bachelor of Business Administration (BBA)|6TH,April 17th, 2023
Bachelor of Business Administration (BBA)|6TH,April 17th, 2023
Bachelor of Business Administration (BBA)|5TH,April 17th, 2023
Bachelor of Business Administration (BBA)|4TH,April 17th, 2023
Bachelor of Business Administration (BBA)|3RD,April 17th, 2023
ADP Accounting & Finance|4TH,April 17th, 2023
BS Accounting & Finance|6TH,April 17th, 2023
BS Accounting & Finance|4TH,April 17th, 2023
BS Accounting & Finance|3RD,April 17th, 2023
M.Com 2 Years|3RD,April 17th, 2023
ADP International Marketing and E-Commerce|3RD,April 17th, 2023
BS Aviation Management|8TH,April 17th, 2023
BS Aviation Management|10TH,April 17th, 2023
BS Economics|8TH,April 17th, 2023
BS Economics|6TH,April 17th, 2023
BS Urdu|4TH,April 17th, 2023
ADP-Urdu|4TH,April 17th, 2023
BS Clinical Psychology|8TH,April 17th, 2023
BS Clinical Psychology|6TH,April 17th, 2023
MSc. Clinical Psychology|4TH,April 17th, 2023
BS Mass Communication|7TH,April 17th, 2023
BS Mass Communication|6TH,April 17th, 2023
BS-Media and Communication|4TH,April 17th, 2023
BS International Relations|8TH,April 17th, 2023
BS International Relations|7TH,April 17th, 2023
BS International Relations|6TH,April 17th, 2023
ADP English|4TH,April 17th, 2023
ADP English|3RD,April 17th, 2023
M.A. English|4TH,April 17th, 2023
M.A. English|3RD,April 17th, 2023
BS English|8TH,April 17th, 2023
BS English|8TH,April 17th, 2023
BS English|7TH,April 17th, 2023
BS English|4TH,April 17th, 2023
BS English|3RD,April 17th, 2023
BS Aviation Management|6TH,April 17th, 2023
BS Aviation Management|5TH,April 17th, 2023
BS Clinical Psychology|3RD,April 17th, 2023
ADP Accounting & Finance|4TH,April 19th, 2023
BS Accounting & Finance|4TH,April 19th, 2023
BS Accounting & Finance|3RD,April 19th, 2023
BS Aviation Management|7TH,April 19th, 2023
BS Clinical Psychology|8TH,April 19th, 2023
ADP Business Studies|4TH,April 19th, 2023
Master of Buisness Administration|4TH,April 19th, 2023
Master of Buisness Administration|4TH,April 19th, 2023
Master of Buisness Administration|4TH,April 19th, 2023
Master of Buisness Administration|3RD,April 19th, 2023
Master of Buisness Administration|3RD,April 19th, 2023
Bachelor of Business Administration (BBA)|8TH,April 19th, 2023
Bachelor of Business Administration (BBA)|8TH,April 19th, 2023
Bachelor of Business Administration (BBA)|9TH,April 19th, 2023
Bachelor of Business Administration (BBA)|7TH,April 19th, 2023
Bachelor of Business Administration (BBA)|6TH,April 19th, 2023
Bachelor of Business Administration (BBA)|5TH,April 19th, 2023
ADP Accounting & Finance|3RD,April 19th, 2023
BS Accounting & Finance|6TH,April 19th, 2023
BS Accounting & Finance|5TH,April 19th, 2023
ADP International Marketing and E-Commerce|3RD,April 19th, 2023
BS Aviation Management|10TH,April 19th, 2023
BS Urdu|4TH,April 19th, 2023
ADP-Urdu|4TH,April 19th, 2023
BS Clinical Psychology|6TH,April 19th, 2023
BS Clinical Psychology|5TH,April 19th, 2023
BS Clinical Psychology|4TH,April 19th, 2023
BS Clinical Psychology|3RD,April 19th, 2023
BS Mass Communication|7TH,April 19th, 2023
BS-Media and Communication|4TH,April 19th, 2023
ADP English|4TH,April 19th, 2023
ADP English|3RD,April 19th, 2023
M.A. English|3RD,April 19th, 2023
BS English|8TH,April 19th, 2023
BS English|7TH,April 19th, 2023
BS English|4TH,April 19th, 2023
BS English|3RD,April 19th, 2023
ADP Business Studies|4TH,April 19th, 2023
Bachelor of Business Administration (BBA)|4TH,April 19th, 2023
Bachelor of Business Administration (BBA)|4TH,April 19th, 2023
BS Aviation Management|6TH,April 19th, 2023
BS Aviation Management|5TH,April 19th, 2023
BS English|6TH,April 19th, 2023
BS English|5TH,April 19th, 2023
