ADP Accounting & Finance | (4TH)
BS Accounting & Finance | (4TH)
BS Accounting & Finance | (3RD)
BS Aviation Management | (7TH)
BS Clinical Psychology | (8TH)
ADP Business Studies | (4TH)
Master of Buisness Administration | (4TH)
Master of Buisness Administration | (4TH)
Master of Buisness Administration | (4TH)
Master of Buisness Administration | (3RD)
Master of Buisness Administration | (3RD)
Bachelor of Business Administration (BBA) | (8TH)
Bachelor of Business Administration (BBA) | (8TH)
Bachelor of Business Administration (BBA) | (9TH)
Bachelor of Business Administration (BBA) | (7TH)
Bachelor of Business Administration (BBA) | (6TH)
Bachelor of Business Administration (BBA) | (5TH)
ADP Accounting & Finance | (3RD)
BS Accounting & Finance | (6TH)
BS Accounting & Finance | (5TH)
ADP International Marketing and E-Commerce | (3RD)
BS Aviation Management | (10TH)
BS Urdu | (4TH)
ADP-Urdu | (4TH)
BS Clinical Psychology | (6TH)
BS Clinical Psychology | (5TH)
BS Clinical Psychology | (4TH)
BS Clinical Psychology | (3RD)
BS Mass Communication | (7TH)
BS-Media and Communication | (4TH)
ADP English | (4TH)
ADP English | (3RD)
M.A. English | (3RD)
BS English | (8TH)
BS English | (7TH)
BS English | (4TH)
BS English | (3RD)
ADP Business Studies | (4TH)
Bachelor of Business Administration (BBA) | (4TH)
Bachelor of Business Administration (BBA) | (4TH)
BS Aviation Management | (6TH)
BS Aviation Management | (5TH)
BS English | (6TH)
BS English | (5TH)
nan | (nan)
nan | (nan)
nan | (nan)
nan | (nan)
nan | (nan)
