URL,CREATED_AT,AVAILABILITY_TYPE,SIZE,BRAND,CATEGORY,USERNAME,PRICE,FOLLOWERS,AVAILABLE_LISTING,SOLD_OUT
https://poshmark.com/listing/63d9ebe21645f7a73a0ffbaa,2023-01-31,available,M,,Jackets & Blazers,miamioclock,999999,"134,750",1104.0,4400.0
https://poshmark.com/listing/642663e72fbf1a16a53c2bdd,2023-03-30,available,XS,Proenza Schouler,Dresses & Skirts,miamioclock,499,"134,750",1104.0,4400.0
https://poshmark.com/listing/642662af308f07f039cdac33,2023-03-30,available,XS,LoveShackFancy,Dresses & Skirts,miamioclock,299,"134,750",1104.0,4400.0
https://poshmark.com/listing/642661152fbf1a60cd3c1cb0,2023-03-30,available,M,Hutch,Dresses & Skirts,miamioclock,179,"134,750",1104.0,4400.0
https://poshmark.com/listing/64265ffafed51fbcacf29708,2023-03-30,available,S,Esteban Cortazar,Dresses & Skirts,miamioclock,199,"134,750",1104.0,4400.0
https://poshmark.com/listing/6422054404166dce41074603,2023-03-27,available,OS,Gucci,Handbags,miamioclock,550,"134,750",1104.0,4400.0
https://poshmark.com/listing/642200fb7f29dd113bf39870,2023-03-27,available,OS,Fendi,Handbags,miamioclock,599,"134,750",1104.0,4400.0
https://poshmark.com/listing/6421e3cff8c5dafe96acca5d,2023-03-27,available,OS,CHANEL,Handbags,miamioclock,1190,"134,750",1104.0,4400.0
https://poshmark.com/listing/6421e05f678c3a96dfe9d75b,2023-03-27,available,OS,Louis Vuitton,Handbags,miamioclock,1090,"134,750",1104.0,4400.0
https://poshmark.com/listing/6416939332c1dc602c20b147,2023-03-18,available,OS,Gucci,Handbags,miamioclock,825,"134,750",1104.0,4400.0
https://poshmark.com/listing/64168ee48d7a3c4641150425,2023-03-18,available,OS,Louis Vuitton,Handbags,miamioclock,799,"134,750",1104.0,4400.0
https://poshmark.com/listing/64168cd9ffb5d0642c4dc165,2023-03-18,available,OS,Louis Vuitton,Handbags,miamioclock,985,"134,750",1104.0,4400.0
https://poshmark.com/listing/640e7cee81078a9acbeeb6b7,2023-03-12,available,OS,Yves Saint Laurent,Handbags,miamioclock,1250,"134,750",1104.0,4400.0
https://poshmark.com/listing/640e7ba3bd0629ce24371023,2023-03-12,available,OS,Louis Vuitton,Handbags,miamioclock,950,"134,750",1104.0,4400.0
https://poshmark.com/listing/640e3ca1308f07428d0d6109,2023-03-12,available,OS,Versace,Handbags,miamioclock,1250,"134,750",1104.0,4400.0
https://poshmark.com/listing/640e39155d686bdff061eab3,2023-03-12,available,38EU,Fendi,Tops,miamioclock,850,"134,750",1104.0,4400.0
https://poshmark.com/listing/640e35e9c5df6cfa8476d350,2023-03-12,available,OS,Louis Vuitton,Handbags,miamioclock,850,"134,750",1104.0,4400.0
https://poshmark.com/listing/640a12f0fed51f0fa76f711c,2023-03-09,available,OS,Prada,Handbags,miamioclock,549,"134,750",1104.0,4400.0
