NAME,TYPE,ADDRESS,PHONE,EMAIL
Haileybury,Non-denominational,855 Springvale Road,03 9213 2222,reception@haileybury.vic.edu.au
SEDA College (Victoria),Non-denominational,425 Riversdale Road,03 9834 6397,heathm@scv.vic.edu.au
Westbourne Grammar School - Williamstown,Non-denominational,67 The Strand,03 9731 9555,info@westbourne.vic.edu.au
Newmark Primary,Other,126 - 128 Nelson Place,03 8560 4466,beextraordinary@newmark.vic.edu.au
SEDA College (Victoria),Non-denominational,425 Riversdale Road,03 9834 6397,heathm@scv.vic.edu.au
Heatherton Christian College,Christian,316 - 322 Kingston Road,03 8551 6650,office@hcc.vic.edu.au
SEDA College (Victoria),Non-denominational,425 Riversdale Road,03 9834 6397,heathm@scv.vic.edu.au
SEDA College (Victoria),Non-denominational,425 Riversdale Road,03 9834 6397,heathm@scv.vic.edu.au
Gilson College,Seventh Day Adventist,450 Taylors Road,03 9365 9365,admin.th@gilson.vic.edu.au
Overnewton Anglican Community College,Anglican,2 - 30 Overnewton Road,03 9334 0000,oacc@overnewton.vic.edu.au
SEDA College (Victoria),Non-denominational,425 Riversdale Road,03 9834 6397,heathm@scv.vic.edu.au
St Mary's Coptic Orthodox College,Coptic Orthodox,19 - 35 Thorpdale Avenue,03 9302 2788,principal@stmarys.vic.edu.au
SEDA College (Victoria),Non-denominational,425 Riversdale Road,03 9834 6397,heathm@scv.vic.edu.au
Stott's Colleges,Non-denominational,Level 1, 252 Lygon Street,03 9663 4585,Unknown
SEDA College (Victoria),Non-denominational,425 Riversdale Road,03 9834 6397,heathm@scv.vic.edu.au
Australian International Academy of Education,Islamic,56 Bakers Road,03 9350 4533,aia@aia.vic.edu.au
Aitken College,Uniting Church,1010 Mickleham Road,03 9333 1866,admin@aitkencollege.edu.au
Darul Ulum College of Victoria,Islamic,17 Baird Street,03 9355 6800,info@dulum.vic.edu.au
Hume Anglican Grammar,Anglican,100 Mount Ridley Road,03 8339 6900,principal@humegrammar.vic.edu.au
Sophia Mundi Steiner School,Steiner,1 St Heliers Street,03 9419 9229,reception@sophiamundi.vic.edu.au
Fitzroy Community School,Non-denominational,597 Brunswick Street,03 9489 2356,info@fcs.vic.edu.au
Al Siraat College,Islamic,45 Harvest Home Road,03 9407 7000,info@alsiraat.vic.edu.au
Alphington Grammar,Non-denominational,12-18 Old Heidelberg Road,03 9497 4777,info@ags.vic.edu.au
Northside Christian College,Christian,31 McLeans Road,03 9467 2499,ncc@ncc.vic.edu.au
Ivanhoe Grammar School,Anglican,The Ridgeway,03 9490 1877,aisv.mail@ivanhoe.com.au
North-Eastern Montessori School,Montessori,315 Aqueduct Road,03 9438 3202,hello@northeastern.vic.edu.au
ELTHAM College,Non-denominational,1660 Main Road,03 9437 1421,eltham@elthamcollege.vic.edu.au
Learning Co-operative Primary School,Other,10 Laceys Road,03 9718 1481,info@learningcooperative.vic.edu.au
